Id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
3445,45,management,married,tertiary,no,0,yes,yes,unknown,13,may,147,1,-1,0,unknown,no
6844,34,blue-collar,married,secondary,no,1257,yes,no,unknown,26,may,109,7,-1,0,unknown,no
42833,48,management,divorced,tertiary,no,0,no,no,cellular,15,oct,126,2,-1,0,unknown,no
20194,31,technician,married,secondary,no,7,no,no,telephone,6,aug,116,6,-1,0,unknown,no
40996,53,technician,married,tertiary,no,395,no,no,cellular,3,jun,107,1,-1,0,unknown,no
19642,53,services,married,secondary,no,514,yes,no,cellular,31,jul,10,3,-1,0,unknown,no
11438,47,housemaid,married,tertiary,no,1985,no,no,unknown,12,jun,320,2,-1,0,unknown,no
11416,44,management,single,tertiary,no,3355,yes,no,unknown,12,jun,312,2,-1,0,unknown,no
14674,36,blue-collar,married,primary,no,0,no,no,telephone,9,jul,39,1,-1,0,unknown,no
31346,59,unemployed,married,secondary,no,2740,no,no,cellular,5,feb,130,1,-1,0,unknown,no
12409,55,services,married,secondary,no,477,no,no,unknown,19,jun,170,1,-1,0,unknown,no
3478,35,technician,single,secondary,no,2144,yes,no,unknown,13,may,188,2,-1,0,unknown,no
38377,36,management,single,tertiary,no,181,yes,no,cellular,13,may,159,2,278,4,failure,no
33914,35,management,single,tertiary,no,633,yes,no,cellular,17,apr,128,3,-1,0,unknown,no
22711,49,blue-collar,married,unknown,no,5,no,no,cellular,19,aug,202,1,-1,0,unknown,no
20411,55,entrepreneur,married,tertiary,no,41923,no,no,cellular,6,aug,69,3,-1,0,unknown,no
30320,49,blue-collar,married,primary,no,4,yes,yes,cellular,2,feb,161,2,-1,0,unknown,no
45931,34,admin.,single,secondary,no,239,no,no,unknown,5,oct,6,1,-1,0,unknown,no
39725,33,blue-collar,single,primary,no,577,yes,no,cellular,15,may,59,4,-1,0,unknown,no
6997,37,technician,married,secondary,no,4030,yes,no,unknown,26,may,178,5,-1,0,unknown,no
40988,38,technician,married,tertiary,no,34,no,yes,cellular,3,jun,88,1,-1,0,unknown,no
29564,40,technician,single,secondary,no,822,yes,yes,cellular,29,jan,155,2,245,3,failure,no
36066,32,blue-collar,married,secondary,no,25,yes,no,cellular,6,may,28,2,345,3,other,no
21772,50,technician,married,secondary,no,1838,yes,yes,cellular,13,aug,221,8,-1,0,unknown,no
11362,42,unknown,single,secondary,no,1456,no,no,unknown,12,jun,56,1,-1,0,unknown,no
13697,53,blue-collar,married,primary,no,465,yes,no,cellular,7,jul,111,2,-1,0,unknown,no
33163,58,blue-collar,single,secondary,no,3612,yes,no,cellular,15,apr,563,1,-1,0,unknown,no
32580,38,technician,married,secondary,no,751,yes,no,cellular,3,apr,125,1,-1,0,unknown,no
29046,32,self-employed,married,tertiary,no,1918,no,no,cellular,28,jan,128,2,-1,0,unknown,no
21893,30,management,married,tertiary,no,388,no,no,cellular,13,aug,157,1,-1,0,unknown,no
19153,35,services,married,secondary,no,0,yes,no,cellular,30,jul,251,3,-1,0,unknown,no
4094,45,entrepreneur,married,secondary,no,245,yes,no,unknown,14,may,126,3,-1,0,unknown,no
18631,38,technician,single,secondary,no,1655,no,no,cellular,29,jul,392,2,-1,0,unknown,no
36664,32,technician,married,secondary,no,56,yes,no,cellular,8,may,126,1,359,5,other,no
14508,31,services,divorced,unknown,no,0,no,yes,cellular,9,jul,138,1,-1,0,unknown,no
39376,41,management,married,tertiary,no,526,yes,no,cellular,15,may,229,5,268,4,failure,no
14603,39,blue-collar,married,primary,no,-176,no,no,cellular,9,jul,176,1,-1,0,unknown,no
23883,30,management,single,tertiary,no,420,no,no,cellular,25,aug,618,3,-1,0,unknown,no
21521,43,management,married,tertiary,no,-526,no,no,cellular,12,aug,603,2,-1,0,unknown,no
36091,31,services,married,secondary,no,-414,yes,no,cellular,6,may,1369,3,-1,0,unknown,no
31405,47,unemployed,divorced,secondary,no,947,no,no,cellular,5,feb,124,2,-1,0,unknown,no
34501,34,blue-collar,married,secondary,no,745,yes,no,cellular,20,apr,400,5,332,4,failure,no
3189,32,blue-collar,married,primary,no,1064,yes,no,unknown,12,may,326,1,-1,0,unknown,no
37267,39,services,married,secondary,no,93,yes,no,cellular,11,may,72,4,-1,0,unknown,no
29247,58,management,divorced,secondary,no,44,yes,no,cellular,29,jan,147,1,195,1,other,no
22268,45,services,married,secondary,no,1621,no,no,cellular,18,aug,122,8,-1,0,unknown,no
23492,30,technician,married,secondary,no,817,yes,no,cellular,22,aug,180,4,-1,0,unknown,no
9362,36,management,single,tertiary,no,0,yes,no,unknown,3,jun,174,1,-1,0,unknown,no
24710,39,management,divorced,tertiary,no,295,no,no,cellular,28,aug,68,2,-1,0,unknown,no
35265,29,management,married,tertiary,no,451,no,no,cellular,4,may,54,1,96,1,failure,no
33217,29,admin.,divorced,secondary,no,589,yes,no,telephone,16,apr,262,6,316,1,other,no
10814,39,blue-collar,married,secondary,no,5201,no,no,unknown,9,jun,317,1,-1,0,unknown,no
13132,36,management,married,tertiary,no,530,no,no,unknown,20,jun,221,3,-1,0,unknown,no
42571,37,management,married,tertiary,no,99,no,no,cellular,14,sep,161,1,-1,0,unknown,no
32782,31,admin.,married,secondary,no,941,yes,no,cellular,8,apr,213,4,-1,0,unknown,no
18768,29,technician,single,tertiary,no,262,yes,yes,cellular,29,jul,510,9,-1,0,unknown,no
17928,29,management,married,tertiary,no,5698,no,no,cellular,25,jul,198,1,-1,0,unknown,no
4860,55,management,married,primary,no,19,yes,no,unknown,16,may,56,3,-1,0,unknown,no
19084,26,blue-collar,single,secondary,no,179,no,no,cellular,30,jul,103,3,-1,0,unknown,no
38343,34,unemployed,married,secondary,no,0,yes,no,cellular,13,may,172,1,-1,0,unknown,no
22815,47,unemployed,married,primary,no,798,no,no,cellular,20,aug,89,2,-1,0,unknown,no
16347,29,services,single,secondary,yes,-308,no,no,cellular,18,jul,113,1,-1,0,unknown,no
3834,60,retired,divorced,primary,no,1327,yes,yes,unknown,14,may,80,1,-1,0,unknown,no
36517,56,entrepreneur,married,tertiary,no,16125,no,no,telephone,7,may,202,2,167,1,failure,no
2751,28,technician,single,tertiary,no,2269,yes,no,unknown,9,may,331,1,-1,0,unknown,no
31527,34,admin.,single,secondary,no,713,no,no,cellular,5,feb,124,2,-1,0,unknown,no
30855,38,entrepreneur,married,tertiary,no,227,yes,no,cellular,4,feb,89,1,209,1,failure,no
38823,42,housemaid,single,primary,no,1179,yes,no,cellular,14,may,136,1,337,4,failure,no
22378,54,management,married,tertiary,no,2883,no,no,cellular,18,aug,1126,5,-1,0,unknown,no
39233,35,unemployed,married,tertiary,no,1849,yes,no,cellular,15,may,111,1,-1,0,unknown,no
20458,35,technician,married,secondary,no,1055,yes,no,cellular,7,aug,261,2,-1,0,unknown,no
6446,30,services,married,secondary,no,-108,yes,no,unknown,23,may,216,1,-1,0,unknown,no
30861,39,management,married,tertiary,no,606,no,no,cellular,4,feb,79,1,-1,0,unknown,no
26316,30,unemployed,single,primary,no,1,no,no,cellular,18,nov,119,2,-1,0,unknown,no
7889,24,blue-collar,single,secondary,no,327,yes,no,unknown,28,may,333,2,-1,0,unknown,no
18523,42,technician,divorced,secondary,no,-78,yes,yes,cellular,29,jul,10,23,-1,0,unknown,no
27497,42,blue-collar,single,secondary,no,985,no,no,cellular,20,nov,141,2,-1,0,unknown,no
3552,53,management,married,secondary,yes,-689,yes,no,unknown,13,may,242,1,-1,0,unknown,no
33143,58,self-employed,married,tertiary,no,1636,no,no,cellular,15,apr,187,1,-1,0,unknown,no
43303,22,student,single,unknown,no,410,no,no,cellular,16,nov,365,1,-1,0,unknown,no
41100,58,unknown,married,primary,no,7369,no,no,telephone,4,jun,247,2,-1,0,unknown,no
21333,59,retired,married,primary,yes,-13,no,no,cellular,11,aug,77,1,-1,0,unknown,no
16259,35,housemaid,married,tertiary,no,20,yes,yes,cellular,17,jul,505,3,-1,0,unknown,no
8673,38,technician,married,secondary,no,175,yes,no,unknown,30,may,264,1,-1,0,unknown,no
34298,40,admin.,single,secondary,no,2360,yes,no,cellular,20,apr,15,2,-1,0,unknown,no
43132,55,management,single,tertiary,no,0,no,no,cellular,3,nov,222,3,187,3,failure,no
25213,56,management,married,tertiary,no,6798,yes,no,cellular,17,nov,250,1,-1,0,unknown,no
18755,32,technician,married,secondary,no,-95,yes,no,cellular,29,jul,935,4,-1,0,unknown,no
25409,30,management,single,tertiary,no,1435,yes,no,cellular,17,nov,104,3,-1,0,unknown,no
18994,56,retired,married,secondary,no,485,no,no,cellular,30,jul,70,2,-1,0,unknown,no
9649,28,admin.,married,secondary,no,1582,yes,no,unknown,3,jun,816,2,-1,0,unknown,no
20344,49,management,married,tertiary,no,0,no,no,cellular,6,aug,44,2,-1,0,unknown,no
24096,34,management,single,tertiary,no,4687,no,no,cellular,26,aug,10,19,-1,0,unknown,no
18427,29,services,married,secondary,no,417,yes,no,cellular,28,jul,234,11,-1,0,unknown,no
6403,40,management,divorced,tertiary,no,-319,yes,no,unknown,23,may,59,3,-1,0,unknown,no
21938,31,management,single,tertiary,no,1494,no,no,cellular,13,aug,275,12,-1,0,unknown,no
35330,32,blue-collar,married,primary,yes,-148,yes,no,cellular,4,may,326,3,357,15,other,no
18878,42,management,married,secondary,no,0,no,no,cellular,30,jul,458,3,-1,0,unknown,no
41363,30,technician,married,secondary,no,2326,no,no,cellular,22,jun,67,1,108,1,success,no
10338,36,housemaid,married,primary,no,122,no,no,unknown,6,jun,78,1,-1,0,unknown,no
15975,29,admin.,single,secondary,no,454,no,no,telephone,16,jul,127,11,-1,0,unknown,no
19278,41,technician,single,secondary,no,3023,no,no,cellular,31,jul,616,3,-1,0,unknown,no
11104,38,housemaid,married,secondary,no,634,no,no,unknown,11,jun,105,4,-1,0,unknown,no
29816,36,services,married,secondary,no,238,no,no,cellular,30,jan,424,1,-1,0,unknown,no
37004,51,services,married,primary,no,314,yes,yes,telephone,8,may,713,3,-1,0,unknown,no
11039,39,blue-collar,single,secondary,no,16917,no,no,unknown,11,jun,129,6,-1,0,unknown,no
5701,31,blue-collar,married,primary,no,855,yes,yes,unknown,20,may,172,4,-1,0,unknown,no
22043,33,management,single,tertiary,no,336,no,no,cellular,14,aug,220,2,-1,0,unknown,no
10218,35,admin.,married,secondary,no,214,yes,yes,unknown,5,jun,247,1,-1,0,unknown,no
21914,47,services,married,primary,no,1803,yes,yes,cellular,13,aug,82,7,-1,0,unknown,no
20728,48,services,married,secondary,no,0,no,no,cellular,7,aug,163,5,-1,0,unknown,no
41933,74,retired,married,secondary,no,291,no,no,cellular,12,aug,543,1,-1,0,unknown,no
42899,39,management,married,tertiary,no,1802,no,no,cellular,20,oct,92,1,336,1,failure,no
3775,31,admin.,married,secondary,no,393,yes,no,unknown,14,may,466,1,-1,0,unknown,no
42671,61,management,married,tertiary,no,1224,no,no,cellular,1,oct,99,1,-1,0,unknown,no
18306,31,blue-collar,married,primary,no,290,yes,no,cellular,28,jul,408,3,-1,0,unknown,no
20579,51,blue-collar,married,primary,no,2315,no,no,cellular,7,aug,111,2,-1,0,unknown,no
7120,43,blue-collar,married,primary,no,-124,yes,no,unknown,27,may,47,5,-1,0,unknown,no
14833,51,blue-collar,divorced,primary,no,1236,yes,no,cellular,10,jul,613,1,-1,0,unknown,no
1608,51,blue-collar,married,primary,no,653,yes,yes,unknown,6,may,208,1,-1,0,unknown,no
22559,34,technician,married,secondary,no,30,no,no,cellular,19,aug,193,2,-1,0,unknown,no
22319,30,technician,single,secondary,no,796,yes,yes,cellular,18,aug,315,4,-1,0,unknown,no
2746,22,admin.,single,secondary,no,-1,yes,no,unknown,9,may,136,1,-1,0,unknown,no
31187,49,services,divorced,secondary,no,1162,no,no,cellular,5,feb,159,1,-1,0,unknown,no
12137,32,services,married,secondary,no,201,yes,no,unknown,18,jun,110,2,-1,0,unknown,no
43314,33,self-employed,married,tertiary,no,263,no,no,cellular,16,nov,79,4,94,3,failure,no
35189,60,blue-collar,married,primary,no,1723,no,no,cellular,4,may,160,4,83,3,failure,no
12108,37,blue-collar,single,secondary,no,415,no,no,unknown,18,jun,203,1,-1,0,unknown,no
30804,37,admin.,divorced,secondary,no,496,no,no,cellular,4,feb,118,4,272,3,failure,no
12104,45,blue-collar,married,secondary,no,103,no,no,unknown,18,jun,48,1,-1,0,unknown,no
20032,59,blue-collar,married,primary,no,460,no,no,cellular,5,aug,224,1,-1,0,unknown,no
25011,46,technician,married,secondary,no,591,no,no,telephone,29,aug,81,2,-1,0,unknown,no
27506,33,blue-collar,married,primary,no,261,yes,no,cellular,20,nov,252,1,-1,0,unknown,no
35732,35,management,single,tertiary,no,107,yes,no,cellular,6,may,142,3,-1,0,unknown,no
37103,31,self-employed,married,tertiary,yes,147,yes,no,cellular,11,may,12,5,-1,0,unknown,no
33580,28,blue-collar,single,secondary,no,1065,yes,yes,cellular,17,apr,406,1,317,1,failure,no
12010,54,retired,married,secondary,no,1614,yes,no,unknown,17,jun,534,4,-1,0,unknown,no
38213,36,blue-collar,married,primary,no,1993,yes,yes,cellular,13,may,174,1,359,2,other,no
31271,27,technician,single,secondary,no,63,no,no,cellular,5,feb,98,1,-1,0,unknown,no
39938,27,technician,married,secondary,no,876,yes,no,cellular,18,may,268,1,355,1,failure,no
42079,32,technician,married,tertiary,no,2976,yes,no,cellular,14,aug,88,5,-1,0,unknown,no
40110,45,unemployed,single,secondary,no,382,yes,yes,cellular,18,may,182,1,-1,0,unknown,no
4536,51,blue-collar,married,primary,no,4497,yes,no,unknown,15,may,276,3,-1,0,unknown,no
4105,31,admin.,married,secondary,no,413,yes,no,unknown,14,may,574,2,-1,0,unknown,no
3920,40,blue-collar,divorced,secondary,no,2540,yes,no,unknown,14,may,189,1,-1,0,unknown,no
35077,32,management,single,tertiary,no,566,no,no,cellular,30,apr,114,2,-1,0,unknown,no
29287,28,admin.,married,secondary,no,172,yes,no,cellular,29,jan,282,1,248,2,other,no
11706,44,management,married,tertiary,no,647,no,no,unknown,16,jun,226,2,-1,0,unknown,no
40575,26,self-employed,single,tertiary,no,560,no,no,telephone,26,may,122,2,-1,0,unknown,no
44867,27,blue-collar,single,primary,no,268,no,no,unknown,4,jun,32,1,-1,0,unknown,no
27829,51,blue-collar,married,primary,no,5206,yes,no,cellular,20,nov,168,3,-1,0,unknown,no
23654,50,management,married,tertiary,no,135,no,no,cellular,25,aug,162,4,-1,0,unknown,no
20965,32,technician,single,tertiary,no,1190,yes,no,cellular,8,aug,131,4,-1,0,unknown,no
15553,45,technician,married,unknown,no,557,yes,no,cellular,15,jul,80,4,-1,0,unknown,no
36101,29,blue-collar,married,secondary,no,100,yes,yes,cellular,6,may,152,4,344,2,failure,no
26166,39,services,married,secondary,no,173,yes,no,cellular,18,nov,96,2,182,2,failure,no
34115,41,blue-collar,married,secondary,no,563,yes,no,cellular,20,apr,142,12,348,1,failure,no
24285,35,technician,married,secondary,no,-1459,yes,no,cellular,27,aug,28,14,-1,0,unknown,no
5057,35,blue-collar,married,secondary,no,474,yes,no,unknown,19,may,55,3,-1,0,unknown,no
18826,34,technician,married,tertiary,no,477,no,no,telephone,29,jul,128,11,-1,0,unknown,no
28664,54,management,married,primary,no,5787,no,no,telephone,21,nov,240,2,-1,0,unknown,no
7219,36,entrepreneur,married,tertiary,no,271,yes,no,unknown,27,may,322,2,-1,0,unknown,no
3877,48,technician,married,secondary,no,427,no,no,unknown,14,may,201,1,-1,0,unknown,no
3576,34,admin.,married,secondary,no,34,yes,no,unknown,13,may,188,3,-1,0,unknown,no
29348,59,management,married,tertiary,no,2365,no,yes,cellular,29,jan,36,1,188,4,failure,no
39704,28,blue-collar,single,primary,no,1518,yes,no,cellular,15,may,204,3,359,3,failure,no
17897,32,management,married,tertiary,no,3107,yes,yes,cellular,25,jul,310,1,-1,0,unknown,no
5540,32,blue-collar,married,secondary,no,489,yes,no,unknown,20,may,212,1,-1,0,unknown,no
21175,30,technician,single,tertiary,no,699,yes,no,cellular,11,aug,213,4,-1,0,unknown,no
30987,31,management,married,tertiary,no,2937,yes,no,cellular,4,feb,173,1,-1,0,unknown,no
37313,42,admin.,single,secondary,no,1453,yes,no,cellular,11,may,264,1,-1,0,unknown,no
36366,46,management,married,secondary,no,21,yes,no,cellular,7,may,124,1,338,2,failure,no
30981,39,unemployed,married,primary,no,590,yes,no,cellular,4,feb,190,2,-1,0,unknown,no
25748,46,blue-collar,married,tertiary,yes,-388,no,no,cellular,18,nov,295,2,-1,0,unknown,no
12173,55,management,married,secondary,no,5836,no,no,unknown,18,jun,192,1,-1,0,unknown,no
12166,57,blue-collar,married,secondary,no,773,yes,yes,unknown,18,jun,97,8,-1,0,unknown,no
11539,52,management,married,primary,no,740,no,no,unknown,16,jun,206,1,-1,0,unknown,no
16454,37,management,single,tertiary,no,35,yes,no,cellular,18,jul,34,3,-1,0,unknown,no
4708,48,management,married,tertiary,no,542,yes,no,unknown,16,may,137,1,-1,0,unknown,no
7991,33,admin.,married,secondary,yes,-675,yes,no,unknown,28,may,245,2,-1,0,unknown,no
34958,36,technician,married,secondary,no,24,yes,no,cellular,30,apr,58,1,163,1,failure,no
16962,29,blue-collar,married,secondary,no,210,no,yes,cellular,22,jul,518,1,-1,0,unknown,no
35939,33,blue-collar,single,secondary,no,5137,yes,no,cellular,6,may,123,1,-1,0,unknown,no
20404,53,technician,married,secondary,no,1225,no,no,cellular,6,aug,70,2,-1,0,unknown,no
43208,32,management,single,tertiary,no,2134,no,no,cellular,10,nov,98,2,-1,0,unknown,no
24951,33,housemaid,single,tertiary,no,1255,no,no,cellular,29,aug,511,4,-1,0,unknown,no
2170,34,blue-collar,single,secondary,yes,-947,yes,no,unknown,8,may,211,3,-1,0,unknown,no
15581,46,services,married,secondary,no,311,yes,yes,cellular,15,jul,232,3,-1,0,unknown,no
10791,30,management,single,tertiary,no,156,yes,no,unknown,9,jun,174,9,-1,0,unknown,no
19263,46,technician,married,secondary,no,5681,no,no,telephone,31,jul,43,5,-1,0,unknown,no
38636,46,technician,married,tertiary,no,217,yes,no,cellular,14,may,141,1,346,2,other,no
36965,36,technician,married,secondary,no,23,yes,no,cellular,8,may,152,2,347,1,failure,no
26931,37,technician,single,tertiary,no,3943,no,no,cellular,19,nov,37,1,-1,0,unknown,no
2814,30,entrepreneur,single,secondary,no,491,yes,no,unknown,9,may,197,4,-1,0,unknown,no
37316,52,services,single,secondary,no,0,yes,no,cellular,11,may,329,2,-1,0,unknown,no
19265,56,management,married,secondary,no,208,no,yes,telephone,31,jul,84,6,-1,0,unknown,no
10949,36,admin.,single,tertiary,no,3819,no,no,unknown,9,jun,398,2,-1,0,unknown,no
42689,24,student,single,secondary,no,4126,no,no,cellular,2,oct,83,5,191,2,success,no
24847,33,technician,married,tertiary,no,599,yes,no,cellular,29,aug,461,2,-1,0,unknown,no
21417,56,blue-collar,married,secondary,no,2395,no,no,cellular,12,aug,150,2,-1,0,unknown,no
8665,39,blue-collar,divorced,secondary,no,160,yes,no,unknown,30,may,151,2,-1,0,unknown,no
24638,53,management,married,tertiary,no,37,no,no,cellular,28,aug,51,9,-1,0,unknown,no
30336,52,admin.,married,secondary,no,2851,no,yes,telephone,2,feb,35,1,-1,0,unknown,no
43354,36,admin.,married,tertiary,no,0,no,no,cellular,25,nov,106,1,205,2,other,no
5238,51,services,married,secondary,no,2085,yes,no,unknown,19,may,70,1,-1,0,unknown,no
43825,72,retired,single,tertiary,no,1285,no,no,telephone,1,feb,280,2,91,7,failure,no
24816,30,technician,married,secondary,no,32,no,no,cellular,29,aug,73,2,-1,0,unknown,no
18155,34,technician,single,tertiary,no,2047,yes,no,cellular,28,jul,57,5,-1,0,unknown,no
15902,57,admin.,divorced,secondary,no,1403,yes,no,cellular,16,jul,547,2,-1,0,unknown,no
21874,30,management,married,secondary,no,877,yes,yes,cellular,13,aug,92,5,-1,0,unknown,no
27724,34,technician,divorced,secondary,no,558,no,no,cellular,20,nov,108,2,-1,0,unknown,no
39000,35,admin.,single,secondary,no,-133,yes,no,cellular,14,may,546,3,-1,0,unknown,no
27990,37,management,married,secondary,no,-499,yes,no,cellular,21,nov,71,3,-1,0,unknown,no
42760,67,retired,married,primary,no,1430,no,no,telephone,12,oct,88,3,-1,0,unknown,no
12373,53,admin.,divorced,secondary,no,-112,no,no,unknown,19,jun,394,1,-1,0,unknown,no
22346,45,technician,married,secondary,no,1629,no,no,cellular,18,aug,58,4,-1,0,unknown,no
29558,26,services,single,secondary,no,335,no,no,telephone,29,jan,393,2,-1,0,unknown,no
5818,33,blue-collar,single,secondary,no,2764,yes,no,unknown,21,may,118,1,-1,0,unknown,no
27128,44,blue-collar,single,primary,no,1593,yes,no,cellular,19,nov,201,2,174,3,success,no
35496,54,blue-collar,married,primary,no,714,no,no,cellular,5,may,225,1,-1,0,unknown,no
40486,37,entrepreneur,married,primary,no,0,no,no,cellular,25,may,163,1,-1,0,unknown,no
26175,38,entrepreneur,married,tertiary,no,0,yes,no,cellular,18,nov,185,3,-1,0,unknown,no
16198,27,entrepreneur,single,secondary,no,2,yes,no,cellular,17,jul,25,1,-1,0,unknown,no
13198,47,unemployed,divorced,tertiary,no,780,no,no,unknown,20,jun,447,2,-1,0,unknown,no
33954,32,technician,married,secondary,no,4887,yes,no,cellular,17,apr,246,3,-1,0,unknown,no
14850,38,management,divorced,tertiary,no,219,yes,no,cellular,10,jul,478,1,-1,0,unknown,no
4269,52,admin.,married,secondary,no,225,yes,no,unknown,15,may,167,1,-1,0,unknown,no
27191,35,management,divorced,tertiary,no,146,no,no,cellular,20,nov,392,2,106,2,success,no
9125,56,retired,married,secondary,no,-1,yes,no,unknown,2,jun,45,1,-1,0,unknown,no
15720,39,technician,single,tertiary,no,1531,no,no,telephone,15,jul,543,6,-1,0,unknown,no
24715,47,blue-collar,married,primary,no,1480,no,no,cellular,28,aug,460,5,-1,0,unknown,no
17247,41,admin.,single,tertiary,no,982,no,no,cellular,23,jul,105,1,-1,0,unknown,no
4645,50,blue-collar,married,secondary,no,6258,yes,no,unknown,15,may,139,7,-1,0,unknown,no
46144,28,student,single,secondary,no,970,no,no,cellular,8,nov,137,1,96,1,failure,no
6874,54,management,divorced,secondary,no,-415,yes,no,unknown,26,may,290,2,-1,0,unknown,no
8698,58,self-employed,married,secondary,no,1407,yes,no,unknown,30,may,58,1,-1,0,unknown,no
30082,38,technician,married,secondary,no,10,no,no,cellular,2,feb,86,1,161,5,other,no
37275,27,blue-collar,single,secondary,no,100,yes,no,cellular,11,may,177,4,367,1,failure,no
19063,50,blue-collar,divorced,primary,no,-333,no,yes,cellular,30,jul,208,2,-1,0,unknown,no
25286,38,management,married,tertiary,no,1875,no,no,cellular,17,nov,286,1,-1,0,unknown,no
9087,31,admin.,single,tertiary,no,7505,yes,yes,unknown,2,jun,258,1,-1,0,unknown,no
35413,38,services,married,secondary,no,859,yes,no,cellular,5,may,35,6,-1,0,unknown,no
10052,32,blue-collar,single,secondary,no,313,yes,yes,unknown,5,jun,67,2,-1,0,unknown,no
24304,40,management,single,tertiary,no,269,yes,no,cellular,27,aug,97,4,-1,0,unknown,no
4246,41,blue-collar,married,primary,no,1172,yes,no,unknown,15,may,153,1,-1,0,unknown,no
12095,48,admin.,single,secondary,no,1253,yes,no,unknown,18,jun,245,2,-1,0,unknown,no
10183,48,admin.,married,secondary,no,1099,no,yes,unknown,5,jun,340,1,-1,0,unknown,no
9016,31,blue-collar,married,secondary,no,0,yes,no,unknown,2,jun,245,1,-1,0,unknown,no
29794,58,management,married,tertiary,no,911,yes,no,cellular,30,jan,49,1,-1,0,unknown,no
35220,24,student,single,unknown,no,0,no,no,cellular,4,may,90,2,-1,0,unknown,no
39863,37,blue-collar,single,secondary,no,6281,yes,no,cellular,18,may,242,1,-1,0,unknown,no
19136,58,management,married,tertiary,no,230,yes,no,telephone,30,jul,339,10,-1,0,unknown,no
21782,47,blue-collar,married,primary,no,48,no,no,cellular,13,aug,170,2,-1,0,unknown,no
19843,53,admin.,married,secondary,no,769,no,no,cellular,4,aug,59,1,-1,0,unknown,no
20850,34,management,married,tertiary,no,101,no,no,cellular,8,aug,472,2,-1,0,unknown,no
14583,45,admin.,divorced,secondary,no,-288,no,yes,cellular,9,jul,192,2,-1,0,unknown,no
25007,30,technician,single,secondary,no,124,no,no,cellular,29,aug,60,4,-1,0,unknown,no
13430,34,blue-collar,married,secondary,no,0,yes,no,unknown,30,jun,780,3,-1,0,unknown,no
7465,36,services,single,secondary,no,-330,yes,no,unknown,27,may,256,2,-1,0,unknown,no
4987,52,blue-collar,married,primary,no,1007,yes,no,unknown,16,may,248,2,-1,0,unknown,no
18412,44,management,married,primary,no,5418,yes,yes,cellular,28,jul,58,5,-1,0,unknown,no
32660,40,blue-collar,married,primary,no,2133,yes,yes,cellular,6,apr,377,3,325,1,failure,no
34434,32,admin.,single,secondary,no,299,yes,no,cellular,20,apr,177,2,348,2,failure,no
43356,51,admin.,married,secondary,no,1216,no,no,cellular,25,nov,421,1,-1,0,unknown,no
22563,49,technician,divorced,secondary,no,5,no,no,cellular,19,aug,131,2,-1,0,unknown,no
23349,49,technician,married,secondary,no,27,no,no,cellular,22,aug,57,2,-1,0,unknown,no
